#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
1E0657_56,2.10E-02,4.19E-02,0.0076534,0.000097181,295.18,308.48,44.873,1.42E-10,1.49E-10,2.16E-11,-4.88E+12,-5.43E+11,12.072,1.783,2.91E-23,15.841,2.3482,9.5045,1.4089
2A_0335+096,1.96E-02,2.28E-02,0.042631,0.00077379,17.884,17.884,0.5157,1.51E-10,1.51E-10,4.80E-12,1.71E+12,3.29E+10,2.2043,0.058216,1.79E-23,0.84482,0.027073,0.50689,0.016244
2PIGG_J0011.5-2850,2.11E-02,2.82E-02,0.0041613,0.0016675,174.84,198.67,50.547,3.05E-11,3.47E-11,1.27E-11,3.40E+12,2.75E+11,5.14,0.5,2.09E-23,17.234,7.1063,10.34,4.2638
2PIGG_J2227.0-3041,1.97E-02,2.62E-02,0.014992,0.00029238,29.838,33.224,1.6899,4.41E-11,4.91E-11,2.58E-12,1.55E+12,6.28E+10,2.0262,0.10083,1.69E-23,2.3292,0.12449,1.3975,0.074694
3C_28.0,1.53E-02,3.07E-02,0.022502,0.00015355,35.337,37.639,2.0139,1.03E-10,1.09E-10,5.87E-12,3.43E+12,1.43E+11,3,0.16,1.80E-23,2.1597,0.11612,1.2958,0.069673
3C_295,2.91E-02,5.82E-02,0.03273,0.00037089,34.548,34.548,3.3584,4.50E-10,4.50E-10,1.05E-10,8.60E+12,6.11E+11,3.7569,0.38106,1.91E-23,1.7574,0.17936,1.0544,0.10762
3C_388,1.68E-02,2.53E-02,0.0059319,0.00041603,100,100.4,7.6885,3.15E-11,3.16E-11,2.93E-12,2.98E+12,1.34E+11,3.29,0.2,2.16E-23,7.5134,0.69734,4.508,0.4184
4C_55.16,1.89E-02,3.78E-02,0.017098,0.00051801,49.806,49.806,3.2915,9.16E-11,9.16E-11,6.39E-12,3.09E+12,1.42E+11,3.0868,0.17946,2.00E-23,2.6392,0.17302,1.5835,0.10381
ABELL_0013,1.72E-02,2.58E-02,0.0063929,0.00068592,194.55,194.55,29.824,6.94E-11,6.94E-11,1.20E-11,1.55E+12,1.54E+11,6.3461,0.85076,2.37E-23,12.234,2.1008,7.3406,1.2605
ABELL_0068,1.96E-02,3.92E-02,0.011182,0.0024254,261.69,261.69,96.559,2.37E-10,2.37E-10,9.55E-11,1.00E+13,2.49E+12,12.02,3.9417,2.9023E-23,10.812,4.2509,6.4873,2.5505
