#name,ROIout,D_A,asymm(A),asymm_err,clumpy(S),clump_err,concen(C),concen_err
1E0657_56,1.1945,910.236,0.229133131,0,0.210350638,0,2.762,0
2A_0335+096,0.15004,142.498,0.219488707,0,0.278490576,0,3.361,0
2PIGG_J0011.5-2850,0.57256,294.75,0.825882379,0,0.786450945,0,2.9557,0
2PIGG_J2227.0-3041,0.2229,286.156,,,,,,
3C_28.0,0.39882,667.727,,,,,,
3C_295,0.49506,1208.818,,,,,,
3C_388,0.26937,352.185,,,,,,
4C_55.16,0.67971,787.317,0.345055255,0,0.378605649,0,4.8574,0
ABELL_13,0.47337,360.062,,,,,,
ABELL_68,0.64703,817.373,,,,,,
ABELL_85,0.25077,223.473,0.214443268,0,0.245873901,0,3.3141,0
ABELL_119,0.49149,179.465,0.872228044,0,0.78330639,0,1.8889,0
ABELL_133,0.13818,223.473,0.201734497,0,0.243837629,0,3.4304,0
ABELL_141,1.0902,757.871,,,,,,
ABELL_160,0.41577,181.387,0.848863444,0,0.752117234,0,2.1468,0
ABELL_193,0.19181,195.922,0.723783456,0,0.645812406,0,2.1227,0
ABELL_209,0.59214,696.481,,,,,,
ABELL_222,0.70631,714.739,,,,,,
ABELL_223,0.77063,699.108,,,,,,
ABELL_262,0.08214,68.848,0.172889423,0,0.173245183,0,3.1359,0
ABELL_267,0.59656,757.871,,,,,,
ABELL_368,0.57958,732.704,,,,,,
ABELL_370,0.80621,1064.286,0.329507669,0,0.148930533,0,2.2029,0
ABELL_383,0.29661,645.685,,,,,,
ABELL_399,0.50298,281.48,0.717690514,0,0.532276785,0,2.251,0
ABELL_400,0.24302,99.832,0.85961693,0,0.749414864,0,2.0604,0
ABELL_401,0.50156,291.891,0.588465168,0,0.51880351,0,2.5703,0
ABELL_426,0.11634,75.009,0.094374334,0,0.026797789,0,2.4453,0
ABELL_478,0.66073,340.461,0.101002997,0,0.266853264,0,3.7309,0
ABELL_496,0.08034,135.002,0.296530553,0,0.258178944,0,2.811,0
ABELL_520,0.76915,685.915,0.582924348,0,0.46997926,0,2.2009,0
ABELL_521,0.80086,814.312,,,,,,
ABELL_539,0.31386,119.109,0.79069453,0,0.728207897,0,2.4012,0
ABELL_562,0.33336,413.692,,,,,,
ABELL_576,0.17923,157.386,0.507851729,0,0.356569728,0,2.0605,0
ABELL_586,0.33077,600.624,,,,,,
ABELL_611,0.68594,892.971,,,,,,
ABELL_644,0.5111,274.981,0.456757303,0,0.465975709,0,3.1019,0
ABELL_665,0.86895,628.81,0.737640005,0,0.597581466,0,3.0744,0
ABELL_697,0.80997,879.813,,,,,,
ABELL_744,0.21878,286.156,,,,,,
ABELL_754,0.3954,217.851,0.529350435,0,0.230652203,0,2.3032,0
ABELL_773,1.0079,725.04,,,,,,
ABELL_907,0.81219,547.316,0.165700916,0,0.382522313,0,4.3146,0
ABELL_963,0.61824,695.429,0.329079364,0,0.43658851,0,3.5073,0
ABELL_1060,0.05611,52.724,0.589242148,0,0.432737961,0,1.9146,0
ABELL_1063S,1.0116,1026.408,,,,,,
ABELL_1068,0.44977,501.275,0.177433375,0,0.428590213,0,4.4498,0
ABELL_1201,0.47671,594.335,0.533226994,0,0.449484075,0,2.5778,0
ABELL_1204,0.3441,599.483,,,,,,
ABELL_1240,0.82637,565.925,,,,,,
ABELL_1361,0.15671,436.849,,,,,,
ABELL_1413,0.37955,516.906,0.240819865,0,0.280004364,0,2.9965,0
ABELL_1423,0.85648,714.739,,,,,,
ABELL_1446,0.53441,392.149,0.683463072,0,0.551218695,0,2.4521,0
ABELL_1569,0.42019,288.309,,,,,,
ABELL_1576,1.0478,873.166,,,,,,
ABELL_1644,0.29352,190.582,0.49236086,0,0.339742858,0,4.133,0
ABELL_1650,0.27938,326.546,0.306761051,0,0.342380332,0,2.9351,0
ABELL_1651,0.29836,325.497,,,,,,
ABELL_1664,0.40509,470.395,0.197726373,0,0.381968867,0,4.1383,0
ABELL_1689,0.91681,637.969,0.193761265,0,0.407164148,0,3.9,0
ABELL_1736,0.27198,138.952,0.87910509,0,0.792944945,0,1.9768,0
ABELL_1758,0.70369,873.61,0.626124488,0,0.391144995,0,2.067,0
ABELL_1763,0.9985,644.311,,,,,,
ABELL_1795,0.37941,248.339,0.174163149,0,0.282930966,0,3.5662,0
ABELL_1835,0.5992,814.077,0.107111583,0,0.397616994,0,4.5165,0
ABELL_1914,0.49693,601.194,0.577614511,0,0.451247835,0,2.6242,0
ABELL_1942,0.99722,742.841,,,,,,
ABELL_1991,0.19979,234.285,0.22489264,0,0.387752573,0,4.0085,0
ABELL_1995,0.98881,957.34,,,,,,
ABELL_2029,0.50015,299.029,0.086967109,0,0.163227738,0,3.6278,0
ABELL_2034,0.89347,423.524,0.618669664,0,0.525810067,0,2.9767,0
ABELL_2052,0.12345,144.858,0.158256947,0,0.105196963,0,3.1697,0
ABELL_2063,0.28889,144.072,0.625354551,0,0.597354107,0,2.86,0
ABELL_2065,0.54079,286.515,,,,,,
ABELL_2069,0.49738,433.287,0.699404506,0,0.52641726,0,1.8889,0
ABELL_2104,0.34414,555.325,0.39122389,0,0.292311012,0,2.2357,0
ABELL_2107,0.25193,167.495,0.642691451,0,0.585662864,0,2.7895,0
ABELL_2111,0.83582,757.871,,,,,,
ABELL_2124,0.14931,260.44,,,,,,
ABELL_2125,0.78485,798.151,,,,,,
ABELL_2142,0.40005,345.645,0.240745317,0,0.182897019,0,2.7937,0
ABELL_2147,0.19871,146.036,0.795147638,0,0.663442312,0,1.9339,0
ABELL_2151,0.07518,149.959,,,,,,
ABELL_2163,0.59969,596.34,0.324471459,0,0.259193735,0,2.5886,0
ABELL_2187,0.41077,635.201,,,,,,
ABELL_2199,0.10439,123.893,0.216142151,0,0.207085141,0,2.5889,0
ABELL_2204,1.0463,546.423,0.099468742,0,0.354535347,0,5.5897,0
ABELL_2218,0.77771,601.479,0.540983357,0,0.473428877,0,3.1694,0
ABELL_2219,0.65352,746.869,0.341977944,0,0.320693589,0,2.57,0
ABELL_2244,0.31865,369.255,0.186067864,0,0.230121104,0,2.8243,0
ABELL_2255,0.72598,313.204,0.799339355,0,0.722598697,0,2.2309,0
ABELL_2256,0.50052,231.31,0.756298893,0,0.609340976,0,1.9699,0
ABELL_2259,0.79216,580.501,,,,,,
ABELL_2261,0.49519,742.841,,,,,,
ABELL_2294,0.59839,620.423,,,,,,
ABELL_2319,0.50881,224.969,0.729036375,0,0.669134867,0,2.4372,0
