#name in ACCEPT,name in Fraser-McKelvie et al.,BCG Stellar Mass (10^10 M_sun),BCG SFR (M_sun/yr)
1E0657 56,,,
2A 0335+096,2A 0335+096 (affected by star),,
2PIGG J0011.5-2850,,,
2PIGG J2227.0-3041,,,
3C 28.0,,,
3C 295,,,
3C 388,RXJ1844.0+4532,50.2,0.57
4C 55.16,,,
Abell 13,RXCJ0013.6-1930,26.9,0.12
Abell 68,,,
Abell 85,Abell 85,61.8,0.59
Abell 119,Abell 119,38.9,0.24
Abell 133,RXCJ0102.7-2152,44.4,0.76
Abell 141,,,
Abell 160,,,
Abell 193,Abell 193,43.0,0.30
Abell 209,,,
Abell 222,,,
Abell 223,,,
Abell 262,Abell 262,16.7,0.09
Abell 267,,,
Abell 368,,,
Abell 370,,,
Abell 383,,,
Abell 399,Abell 399,58.2,1.09
Abell 400,,,
Abell 401,Abell 401,58.5,0.24
Abell 426,Abell 426,50.3,41.07
Abell 478,Abell 478,37.7,1.22
Abell 496,Abell 496,35.8,0.18
Abell 520,,,
Abell 521,,,
Abell 539,Abell 539,11.3,0.25
Abell 562,,,
Abell 576,Abell 576 (affected by star),,
Abell 586,,,
Abell 611,,,
Abell 644,Abell 644,28.4,0.20
Abell 665,,,
Abell 697,,,
Abell 744,,,
Abell 754,Abell 754,44.4,0.23
Abell 773,,,
Abell 907,,,
Abell 963,,,
Abell 1060,,,
Abell 1063S,,,
Abell 1068,,,
Abell 1201,,,
Abell 1204,,,
Abell 1240,,,
Abell 1361,,,
Abell 1413,,,
Abell 1423,Abell 1423,5.6,0.00
Abell 1446,,,
Abell 1569,,,
Abell 1576,,,
Abell 1644,Abell 1644,62.0,0.55
Abell 1650,Abell 1650,27.6,0.03
Abell 1651,Abell 1651,46.3,0.19
Abell 1664,,,
Abell 1689,,,
Abell 1736,Abell 1736,27.1,0.15
Abell 1758,,,
Abell 1763,,,
Abell 1795,Abell 1795,30.4,0.54
Abell 1835,,,
Abell 1914,,,
Abell 1942,,,
Abell 1991,Abell 1991,31.9,0.30
Abell 1995,,,
Abell 2029,Abell 2029,114.4,0.80
Abell 2034,,,
Abell 2052,Abell 2052,31.6,0.37
Abell 2063,Abell 2063,23.2,0.14
Abell 2065,Abell 2065,17.9,0.03
Abell 2069,,,
Abell 2104,,,
Abell 2107,Abell 2107,41.2,0.49
Abell 2111,,,
Abell 2124,Abell 2124,47.5,0.39
Abell 2125,,,
Abell 2142,Abell 2142,29.5,0.14
Abell 2147,Abell 2147,13.7,0.10
Abell 2151,,,
Abell 2163,,,
Abell 2187,,,
Abell 2199,Abell 2199,45.1,0.40
Abell 2204,,,
Abell 2218,,,
Abell 2219,,,
Abell 2244,Abell 2244,87.1,0.22
Abell 2255,Abell 2255,35.1,0.20
Abell 2256,Abell 2256,14.5,0.02
Abell 2259,,,
Abell 2261,,,
Abell 2294,,,
Abell 2319,Abell 2319,60.2,0.37
Abell 2384,Abell 2384,19.2,0.03
Abell 2390,,,
Abell 2409,,,
Abell 2420,RXCJ2210.3-1210,48.1,0.23
Abell 2462,,,
Abell 2537,,,
Abell 2554,,,
Abell 2556,RXCJ2313.0-2138,25.7,0.21
Abell 2589,Abell 2589,30.4,0.22
Abell 2597,Abell 2597,19.0,0.69
Abell 2626,Abell 2626,36.9,0.10
Abell 2631,,,
Abell 2657,Abell 2657,12.6,0.17
Abell 2667,,,
Abell 2717,,,
Abell 2744,,,
Abell 2813,,,
Abell 3084,RXCJ0304.0-3656,21.1,0.03
Abell 3088,,,
Abell 3112,Abell 3112,62.1,0.85
Abell 3120,,,
Abell 3158,Abell 3158,37.9,0.23
Abell 3266,Abell 3266,71.9,0.76
Abell 3364,,,
Abell 3376,Abell 3376,30.0,0.11
Abell 3391,Abell 3391,90.7,0.78
Abell 3395,Abell 3395,32.6,0.21
Abell 3528S,Abell 3528S,75.3,0.42
Abell 3558,Abell 3558,76.5,0.38
Abell 3562,Abell 3562,23.3,0.17
Abell 3571,Abell 3571,71.5,0.58
Abell 3581,,,
Abell 3667,Abell 3667,55.8,0.47
Abell 3822,Abell 3822,34.0,0.30
Abell 3827,Abell 3827,108.7,1.22
Abell 3921,Abell 3921,53.6,0.50
Abell 4038,RXCJ2347.7-2808,25.7,0.19
Abell 4059,Abell 4059,55.0,0.33
Abell S0405,Abell S0405,35.8,0.27
Abell S0592,,,
AC 114,,,
AWM7,AWM7,41.9,0.48
Centaurus,Abell 3526,40.0,0.31
CID 0072,,,
CL J1226.9+3332,,,
Cygnus A,Cygnus A,91.5,69.95
ESO 3060170,,,
ESO 5520200,,,
EXO 0422-086,EXO 0422-086,34.2,0.25
HCG 0062,,,
HCG 42,,,
HERCULES A,,,
Hydra A,Abell 780,28.8,1.15
M49,,,
M87,,,
MACS J0011.7-1523,,,
MACS J0035.4-2015,,,
MACS J0159.8-0849,,,
MACS J0242.5-2132,,,
MACS J0257.1-2325,,,
MACS J0257.6-2209,,,
MACS J0308.9+2645,,,
MACS J0329.6-0211,,,
MACS J0417.5-1154,,,
MACS J0429.6-0253,,,
MACS J0520.7-1328,,,
MACS J0547.0-3904,,,
MACS J0717.5+3745,,,
MACS J0744.8+3927,,,
MACS J1115.2+5320,,,
MACS J1115.8+0129,,,
MACS J1131.8-1955,,,
MACS J1149.5+2223,,,
MACS J1206.2-0847,,,
MACS J1311.0-0310,,,
MACS J1621.3+3810,,,
MACS J1931.8-2634,,,
MACS J2049.9-3217,,,
MACS J2211.7-0349,,,
MACS J2214.9-1359,,,
MACS J2228+2036,,,
MACS J2229.7-2755,,,
MACS J2245.0+2637,,,
MKW3S,MKW3S,15.1,0.12
MKW 04,,,
