#name,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high
1E0657_56,0.688,0,-1.248,0,1.11,0,,,,,,,,,,,,,,
2A_0335+096,,,,,,,24,6,23,,,,,,,,,24,6,23
2PIGG_J0011.5-2850,,,,,,,,,,,,,,,,,,,,
2PIGG_J2227.0-3041,,,,,,,,,,,,,,,,,,,,
3C_28.0,,,,,,,,,,,,,,,,,,,,
3C_295,1.006,0,-0.517,0,1.39,0,,,,,,,,,,3560,0,3560,0,0
3C_388,,,,,,,200,80,280,,,,,,,,,200,80,280
4C_55.16,,,,,,,420,160,440,,,,,,,,,420,160,440
ABELL_13,,,,,,,,,,,,,,,,,,,,
ABELL_68,0.882,0,-1.185,0,1.34,0,,,,,,,,,,,,,,
ABELL_85,,,,,,,37,11,37,,,,,,,,,37,11,37
ABELL_119,,,,,,,,,,,,,,,,,,,,
ABELL_133,,,,,,,620,20,260,,,,,,,,,620,20,260
ABELL_141,,,,,,,,,,,,,,,,,,,,
ABELL_160,,,,,,,,,,,,,,,,,,,,
ABELL_193,,,,,,,,,,,,,,,,,,,,
ABELL_209,0.738,0,-1.32,0,0.99,0,,,,,,,,,,,,,,
ABELL_222,,,,,,,,,,,,,,,,,,,,
ABELL_223,,,,,,,,,,,,,,,,,,,,
ABELL_262,,,,,,,9.7,2.6,7.5,,,,,,,,,9.7,2.6,7.5
ABELL_267,0.754,0,-1.12,0,1.05,0,,,,,,,,,,,,,,
ABELL_368,,,,,,,,,,,,,,,,,,,,
ABELL_370,,,,,,,,,,,,,,,,,,,,
ABELL_383,1.325,0,-0.716,0,1.48,0,,,,,,,,,,,,,,
ABELL_399,,,,,,,,,,,,,,,,,,,,
ABELL_400,,,,,,,,,,,,,,,,,,,,
ABELL_401,0.946,0,-1.244,0,1.08,0,,,,,,,,,,,,,,
ABELL_426,,,,,,,150,30,100,,,,,,,,,150,30,100
ABELL_478,0.958,0,-0.817,0,1.29,0,100,20,80,,,,,,,,,100,20,80
ABELL_496,,,,,,,,,,,,,,,,,,,,
ABELL_520,0.346,0,-1.625,0,1.19,0,,,,,,,,,,,,,,
ABELL_521,0.42,0,-1.528,0,1.03,0,,,,,,,,,,,,,,
ABELL_539,,,,,,,,,,,,,,,,,,,,
ABELL_562,,,,,,,,,,,,,,,,,,,,
