Name,RA,Dec,z,z_err,K0,K0_err,K100,K100_err,alpha,Tx,Tx_err,Lbol,Lbol_err,LHa,LHa_err,Lrad,Lrad_err,Rin,Rout,nelec,nelec_err,Kitpl,Kflat,K_err,Pitpl,Pflat,Perr,Mgrav,Mgrav_err,clustemp,clustemp_err,Lambda,tcool5/2,t52err,tcool3/2,t32err,UVSFR,UVerr,IRSFR,IR_err,70SFR,70err,24SFR,24err,BCGmass,BCGmass_err,ROIout,D_A,asymm_v0,asymm_v0_err,clumpy_v0,clump_v0_err,concen_v0,concen_v0_err,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high,name_in_Fraser-McKelvie,BCG_Stellar_Mass,mass_high,mass_low,BCG_SFR,SFR_high,SFR_low,alt_tcool
#,deg,deg,,,keV.cm^2,keV.cm^2,keV.cm^2,keV.cm^2,,keV,keV,10^44erg/s,10^44erg/s,10^40erg/s,10^40erg/s,10^40erg/s,10^40erg/s,Mpc,Mpc,cm^-3,cm^-3,keV.cm^2,keV.cm^2,keV.cm^2,dyne.cm^-2,dyne.cm^-2,dyne.cm^-2,M_dot,M_dot,keV,keV,ergs.cm^3/s,Gyr,Gyr,Gyr,Gyr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,10^10M_dot,10^10M_dot,Mpc,Mpc,,,,,,,,,,,,,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,,10^10M_dot,10^10M_dot,10^10M_dot,M_dot/yr,M_dot/yr,M_dot/yr,Gyr
1E_0657-56,104.6234458,-55.94438611,0.296,0.001,307.45,19.31,18.55,6.52,1.88,11.64,0.4,52.8,0,,,8.34,0,2.10E-02,4.19E-02,0.0076534,0.000097181,295.18,308.48,44.873,1.42E-10,1.49E-10,2.16E-11,-4.88E+12,-5.43E+11,12.072,1.783,2.91E-23,15.841,2.3482,9.5045,1.4089,,,1.88,0,3.44,0,0.84,0.12,6.1,0,1.1945,910.236,0.229133131,0,0.210350638,0,2.762,0,0.688,0,-1.248,0,1.11,0,,,,,,,,,,,,,,,,,,,,,,15.662
2A_0335+096,54.67127083,9.96685,0.03634,0.00016,7.14,0.14,138.64,1.92,1.52,2.88,0,9.77,0,2.58,0,1.12,0,1.96E-02,2.28E-02,0.042631,0.00077379,17.884,17.884,0.5157,1.51E-10,1.51E-10,4.80E-12,1.71E+12,3.29E+10,2.2043,0.058216,1.79E-23,0.84482,0.027073,0.50689,0.016244,,,0.72,0,0.94,0.25,0.21,0.02,5.58,0,0.15004,142.498,0.219488707,0,0.278490576,0,3.361,0,,,,,,,24,6,23,,,,,,,,,24,6,23,2A 0335+096 (affected by star),,,,,,,1.202
2PIGG_J0011.5-2850,2.840095833,-28.85401111,0.075,0,101.98,42.94,214.68,51.48,0.84,5.86,0,2.17,0,,,1.68,0,2.11E-02,2.82E-02,0.0041613,0.0016675,174.84,198.67,50.547,3.05E-11,3.47E-11,1.27E-11,3.40E+12,2.75E+11,5.14,0.5,2.09E-23,17.234,7.1063,10.34,4.2638,0.92,0,,,,,,,,,0.57256,294.75,0.825882379,0,0.786450945,0,2.9557,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.796
2PIGG_J2227.0-3041,336.9773333,-30.57634444,0.073,0,17.13,0.98,113.95,3.65,1.37,2.79,0,0.81,0,,,32.4,0,1.97E-02,2.62E-02,0.014992,0.00029238,29.838,33.224,1.6899,4.41E-11,4.91E-11,2.58E-12,1.55E+12,6.28E+10,2.0262,0.10083,1.69E-23,2.3292,0.12449,1.3975,0.074694,1.82,0.33,,,,,,,,,0.2229,286.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.276
3C_28.0,13.96000417,26.41013056,0.195275,0.000244,23.85,1.28,107.82,3.94,1.79,3.9,0,4.83,0,,,1630,0,1.53E-02,3.07E-02,0.022502,0.00015355,35.337,37.639,2.0139,1.03E-10,1.09E-10,5.87E-12,3.43E+12,1.43E+11,3,0.16,1.80E-23,2.1597,0.11612,1.2958,0.069673,2.3,0.37,13.51,0,2.15,0,2.05,0.29,4.4,0,0.39882,667.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.656
3C_295,212.8345,52.20293056,0.4641,0.0001,14.54,2.53,81.95,6.34,1.47,6.51,0,7.01,0,232,0,203000,0,2.91E-02,5.82E-02,0.03273,0.00037089,34.548,34.548,3.3584,4.50E-10,4.50E-10,1.05E-10,8.60E+12,6.11E+11,3.7569,0.38106,1.91E-23,1.7574,0.17936,1.0544,0.10762,,,,,,,,,,,0.49506,1208.818,,,,,,,1.006,0,-0.517,0,1.39,0,,,,,,,,,,3560,0,3560,0,0,,,,,,,,2.043
3C_388,281.0098542,45.55814167,0.0917,0,17.03,5.77,214.3,8.54,0.76,3.5,0,0.529,0,,,1290,0,1.68E-02,2.53E-02,0.0059319,0.00041603,100,100.4,7.6885,3.15E-11,3.16E-11,2.93E-12,2.98E+12,1.34E+11,3.29,0.2,2.16E-23,7.5134,0.69734,4.508,0.4184,1.14,0,1.78,0,1.61,0.36,1.47,0.15,7.06,0,0.26937,352.185,,,,,,,,,,,,,200,80,280,,,,,,,,,200,80,280,RXJ1844.0+4532,50.2,0.8,0.78,0.57,0.01,0,10.549
4C_55.16,128.7288458,55.57254167,0.241071,0.000351,23.27,2.87,161.6,7.74,1.29,4.21,0,5.97,0,800,0,16100,0,1.89E-02,3.78E-02,0.017098,0.00051801,49.806,49.806,3.2915,9.16E-11,9.16E-11,6.39E-12,3.09E+12,1.42E+11,3.0868,0.17946,2.00E-23,2.6392,0.17302,1.5835,0.10381,,,,,,,,,,,0.67971,787.317,0.345055255,0,0.378605649,0,4.8574,0,,,,,,,420,160,440,,,,,,,,,420,160,440,,,,,,,,3.545
Abell_13,3.407845833,-19.50252778,0.0943,0,182.64,26.18,181.95,36.81,1.37,6.51,0,1.42,0,,,0.609,0,1.72E-02,2.58E-02,0.0063929,0.00068592,194.55,194.55,29.824,6.94E-11,6.94E-11,1.20E-11,1.55E+12,1.54E+11,6.3461,0.85076,2.37E-23,12.234,2.1008,7.3406,1.2605,,,,,,,,,,,0.47337,360.062,,,,,,,,,,,,,,,,,,,,,,,,,,,RXCJ0013.6-1930,26.9,0.58,0.57,0.12,0.14,0.03,13.595
