NH results
     Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
+===================+=======+==========+==========+==========+==========+==========+==========+==========+
J 104.62345, -55.94439| 0.089 | 0.086    | 5.19e+20 | 4.89e+20 | 1.70e+20 | 1.54e+20 | 6.88e+20 | 6.43e+20 |
J 54.67127, 9.96685 | 0.414 | 0.425    | 1.62e+21 | 1.75e+21 | 1.27e+21 | 1.31e+21 | 2.89e+21 | 3.05e+21 |
J 2.84010, -28.85401| 0.014 | 0.014    | 1.40e+20 | 1.39e+20 | 5.78e+18 | 5.81e+18 | 1.46e+20 | 1.45e+20 |
J 336.97733, -30.57634| 0.015 | 0.015    | 1.14e+20 | 1.17e+20 | 4.86e+18 | 4.95e+18 | 1.19e+20 | 1.21e+20 |
J 13.96000, 26.41013| 0.054 | 0.056    | 5.19e+20 | 5.37e+20 | 1.01e+20 | 1.10e+20 | 6.20e+20 | 6.46e+20 |
J 212.83450, 52.20293| 0.012 | 0.012    | 1.25e+20 | 1.34e+20 | 4.14e+18 | 4.75e+18 | 1.29e+20 | 1.38e+20 |
J 281.00985, 45.55814| 0.072 | 0.072    | 5.58e+20 | 5.55e+20 | 1.47e+20 | 1.47e+20 | 7.05e+20 | 7.02e+20 |
J 128.72885, 55.57254| 0.044 | 0.044    | 4.25e+20 | 4.29e+20 | 6.65e+19 | 6.67e+19 | 4.92e+20 | 4.95e+20 |
J 3.40785, -19.50253| 0.023 | 0.022    | 2.04e+20 | 1.99e+20 | 1.46e+19 | 1.38e+19 | 2.19e+20 | 2.13e+20 |
J 9.27698, 9.15897  | 0.076 | 0.074    | 4.83e+20 | 4.96e+20 | 1.34e+20 | 1.35e+20 | 6.17e+20 | 6.31e+20 |
J 10.46002, -9.30300| 0.034 | 0.034    | 2.76e+20 | 2.78e+20 | 3.18e+19 | 3.19e+19 | 3.08e+20 | 3.10e+20 |
J 14.06313, -1.24992| 0.042 | 0.040    | 3.70e+20 | 3.51e+20 | 5.37e+19 | 4.88e+19 | 4.23e+20 | 4.00e+20 |
