#Name,z,z_err,K0(keV.cm^2),K0_err,K100(keV.cm^2),K100_err,alpha,Tx(keV),Tx_err,Lbol(10^44erg/sec),Lbol_err,UL?,LHa(10^40erg/sec),LHa_err,UL?,Lrad(10^40erg/sec),Lrad_err
1E_0657-56,0.296,0.001,307.45,19.31,18.55,6.52,1.88,11.64,0.4,52.8,0,?,,,<,8.34,0
2A_0335+096,0.03634,0.00016,7.14,0.14,138.64,1.92,1.52,2.88,0,9.77,0,=,2.58,0,=,1.12,0
2PIGG_J0011.5-2850,0.075,0.001,101.98,42.94,214.68,51.48,0.84,5.86,0,2.17,0,?,,,=,1.68,0
2PIGG_J2227.0-3041,0.073,0.001,17.13,0.98,113.95,3.65,1.37,2.79,0,0.81,0,?,,,=,32.4,0
3C_28.0,0.195443,0.000012,23.85,1.28,107.82,3.94,1.79,3.9,0,4.83,0,?,,,=,1630,0
3C_295,0.461687,0.000049,14.54,2.53,81.95,6.34,1.47,6.51,0,7.01,0,=,232,0,=,203000,0
3C_388,0.0917,0.0001,17.03,5.77,214.3,8.54,0.76,3.5,0,0.529,0,?,,,=,1290,0
4C_55.16,0.241615,0.000054,23.27,2.87,161.6,7.74,1.29,4.21,0,5.97,0,=,800,0,=,16100,0
Abell_13,0.0943,0.0001,182.64,26.18,181.95,36.81,1.37,6.51,0,1.42,0,?,,,<,0.609,0
Abell_68,0.2546,0.0001,217.34,89.03,142.31,98.33,0.89,7.99,0,12.8,0,<,8.3,0,<,4.34,0
Abell_85,0.055777,0.0004,12.5,0.53,158.83,1.87,1.12,6.9,0,5.3,0,=,0.431,0,=,4.61,0
Abell_119,0.044325,0.00024,233.85,87.65,191.29,102.81,0.75,6.04,0,1.41,0,<,0.016,0,<,0.125,0
Abell_133,0.0572,0.00051,17.26,0.49,170.12,4.15,1.59,3.71,0,0.828,0,=,0.653,0,<,0.203,0
Abell_141,0.229744,0.00001,205.03,27.44,42.56,20.75,1.78,5.31,0,,,?,,,<,3.44,0
Abell_160,0.043739,0.0004,155.78,27.67,116.26,29.25,0.98,2.7,0,,,<,0.213,0,<,0.102,0
Abell_193,0.048587,0.00029,185.46,13.3,35.96,16.81,2.23,2.5,0,,,<,0.251,0,=,1.56,0
Abell_209,0.206,0.001,105.5,26.94,149.31,35.16,0.8,8.28,0,11,0,?,,,<,3.38,0
Abell_222,0.2143,0.0001,126.02,15.01,82.25,18.98,1,4.6,0,10.5,0,<,5.62,0,<,2.66,0
Abell_223,0.207,0.001,183.87,46.09,160.65,59.23,1.24,5.28,0,11.2,0,<,5.29,0,=,19.8,0
Abell_262,0.01742,0.00027,10.57,0.76,205.09,7.87,0.98,2.18,0,1.05,0,?,,,=,0.435,0
Abell_267,0.23,0.001,168.56,17.64,51.81,21.05,1.82,6.79,0,8.7,0,<,6.65,0,<,4.34,0
Abell_368,0.222,0.001,50.87,8.21,144.12,15.35,1.21,5.62,0,,,?,,,=,6.48,0
Abell_370,0.375,0.001,321.92,90.83,78.72,89.33,1.24,7.2,0,12.1,0,?,,,<,13.4,0
Abell_383,0.1907,0.00089,13.02,1.57,110.9,5.24,1.4,3.93,0,5.39,0,?,,,=,44.6,0
Abell_399,0.071806,0.00044,153.2,18.76,204.34,22.45,0.74,5.8,0,4.4,0,<,0.561,0,<,0.343,0
Abell_400,0.023214,0.00034,162.81,3.92,35.26,5.74,1.76,2.31,0,0.851,0,<,0.06,0,<,0.028,0
Abell_401,0.073664,0.00036,166.86,7.7,81.79,10.43,1.4,8.07,0,8.39,0,<,0.609,0,<,0.372,0
Abell_426,0.018,0.001,19.38,0.16,119.89,0.5,1.74,6.79,0,50,0,=,0.146,0,=,143,0
Abell_478,0.088,0.0002,7.81,0.92,122,2.58,0.97,7.07,0,16.7,0,=,6.03,0,=,7.87,0
Abell_496,0.03295,0.0002,8.91,0.66,216.33,10.45,1.27,3.89,0,0.575,0,=,0.718,0,=,3.27,0
Abell_520,0.202,0.003,325.54,29.22,10.22,11.8,2.09,7.4,0,13.1,0,<,5.01,0,<,3.24,0
Abell_521,0.2533,0.001,259.87,36.25,245.43,61.81,1.91,6.74,0,9.85,0,?,,,<,4.29,0
Abell_539,0.0284,0.0001,22.59,4.49,493.32,165.56,1.05,3.24,0,1.82,0,?,,,<,0.041,0
Abell_562,0.11,0.001,202.06,39.29,34.61,45.25,1.09,3.04,0,2.14,0,?,,,<,0.677,0
Abell_576,0.038205,0.000334,95.29,15.44,221.21,31.54,1.41,4.09,0,0.47,0,<,0.157,0,<,0.094,0
Abell_586,0.171,0.0003,94.75,19.22,92.06,25.54,1.25,8.7,0,8.61,0,<,3.5,0,=,4.91,0
Abell_611,0.288,0.001,124.93,18.61,164.35,31.45,1.25,6.69,0,10.9,0,<,10.9,0,<,7.26,0
Abell_644,0.07,0.001,132.36,9.15,85.91,11.68,1.55,6.6,0,7.61,0,<,0.346,0,<,0.325,0
Abell_665,0.182,0.001,134.57,23.45,106.34,25.14,1.06,8.3,0,13.5,0,<,3.96,0,<,2.53,0
Abell_697,0.282,0.001,166.67,24.45,108.16,29.13,1.1,9.06,0,26.3,0,<,10.4,0,<,6.92,0
Abell_744,0.0729,0.001,63.42,10.17,229.33,15.24,0.79,2.5,0,0.891,0,<,6.49,0,<,0.282,0
Abell_754,0.054315,0.000357,270.39,23.78,69.67,26.5,1.48,9.94,0,33.1,0,<,0.219,0,<,0.192,0
Abell_773,0.217,0.001,244.32,31.73,41.1,22.52,1.6,8.53,0,13,0,<,5.86,0,<,3.8,0
Abell_907,0.167,0.01,23.38,3.22,187.01,8.11,1.05,5.04,0,6.26,0,?,,,=,47.7,0
Abell_963,0.2055,0.0005,55.77,12.86,169.12,20.27,0.9,6.6,0,10.7,0,<,5.21,0,<,3.37,0
Abell_1060,0.013303,0.0005,72,5.2,178.34,100.88,1.25,3.2,0,0.012,0,?,,,<,0.01,0
Abell_S1063,0.351,0.001,169.59,19.67,42.21,17.72,1.72,11.1,0,71.5,0,?,,,<,21.1,0
Abell_1068,0.1389,0.00045,9.11,1.03,108.8,3.24,1.31,3.87,0,4.77,0,=,226,0,=,12.8,0
Abell_1201,0.1688,0.001,64.81,16.87,198.94,25.18,1.03,6.9,0,4.08,0,<,3.41,0,<,2.17,0
Abell_1204,0.1706,0.0001,15.31,1.42,81.83,3.64,1.4,3.78,0,3.98,0,=,6.38,0,<,2.22,0
Abell_1240,0.159,0.001,462.4,41.66,8.27,18.17,2.37,4.77,0,,,?,,,<,1.51,0
Abell_1361,0.1167,0.0005,18.64,4.9,117.86,10.53,1.06,4.08,0,2.39,0,=,7.75,0,=,267,0
Abell_1413,0.1436,0.00098,64.03,8.33,123.19,12.99,1.19,8.9,0,10.2,0,<,2.38,0,<,1.6,0
Abell_1423,0.213,0.001,68.32,68.32,124.17,12.85,1.2,8.5,0,7.07,0,<,5.62,0,<,4.6,0
Abell_1446,0.1035,0.0004,152.38,43.81,119.5,49.55,0.67,4,0,,,?,,,<,0.594,0
Abell_1569,0.0735,0.005,110.1,27.79,149.14,28.89,0.51,2.51,0,,,?,,,<,0.287,0
Abell_1576,0.3019,0.002,186.24,49.11,98.35,47.6,1.38,8.65,0,31.6,0,?,,,=,39.4,0
Abell_1644,0.047195,0.000354,19.03,1.16,585.67,81.85,1.76,4.6,0,,,=,0.522,0,=,5.63,0
Abell_1650,0.08445,0.00067,37.96,9.95,159.89,12.1,0.84,5.89,0,4.37,0,<,0.05,0,<,0.484,0
Abell_1651,0.084945,0.00019,89.46,11.07,115.53,15.16,0.97,7,0,6.71,0,<,0.781,0,<,0.852,0
Abell_1664,0.12832,0.00032,14.4,0.98,141.84,6.05,1.7,3.5,0,3.15,0,?,,,=,17.1,0
Abell_1689,0.183,0.003,78.44,7.56,111.77,13.83,1.35,10.1,0,28.1,0,<,0.28,0,<,2.64,0
Abell_1736,0.0458,0.0003,150.35,38.25,127.25,37.91,0.99,3.45,0,3.47,0,<,0.007,0,<,0.072,0
Abell_1758,0.28,0.001,230.84,37.22,144.04,50.23,1.21,7.95,0,21.1,0,<,10.2,0,<,6.76,0
Abell_1763,0.223,0.005,214.69,32.84,70.8,29.05,1.37,6.9,0,9.33,0,<,4.22,0,<,2.71,0
Abell_1795,0.06447,0.0004,18.99,1.05,130.38,2.77,1.18,7.8,0,7.81,0,=,8.77,0,=,95.2,0
Abell_1835,0.2532,0.003,11.44,2.47,111.71,7.91,1.26,7.65,0,39.6,0,=,504,0,=,84.9,0
Abell_1914,0.1711,0.0001,107.16,18.04,131.15,28.3,1.05,10.5,0,26.4,0,<,3.51,0,<,2.24,0
Abell_1942,0.224,0.001,107.73,77.72,194.08,88.68,0.66,5.12,0,2.3,0,<,6.28,0,=,1220,0
Abell_1991,0.05813,0.00027,1.53,0.32,152.21,4.17,1.09,5.4,0,0.451,0,=,0.596,0,=,3.25,0
Abell_1995,0.3186,0.0026,374.35,60.08,26.81,32.93,2.08,8.6,0,10.3,0,?,,,<,7.29,0
Abell_2029,0.07872,0.00026,10.5,0.67,163.58,2.12,0.95,7.38,0,15.6,0,<,0.643,0,=,82.2,0
Abell_2034,0.113,0.003,232.64,23.04,85.07,22.58,1.14,7.15,0,6.5,0,<,1.45,0,<,0.904,0
Abell_2052,0.03443,0.0002,9.45,0.66,164.72,2.59,1.25,2.98,0,5.13,0,=,1.38,0,=,174,0
Abell_2063,0.0331,0.002,53.51,2.6,129.01,3.92,1.07,3.61,0,4.27,0,<,0.13,0,=,0.455,0
Abell_2065,0.074094,0.000334,43.95,6.48,195.29,10.59,1.02,5.35,0,2.95,0,<,0.584,0,<,0.357,0
Abell_2069,0.116,0.0031,453.25,35.63,54.57,36.31,1.47,7.9,0,3.86,0,<,1.54,0,<,0.957,0
